songNum,title,artist,artists,top genre,year,Beats Per Minute,Energy,Danceability,Decibel,Liveness,Valence,Duration,Acousticness,Speech,Popularity
1,"Hey, Soul Sister",Train,"""Train""",neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
2,Love The Way You Lie,Eminem,"""Eminem""",detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
3,TiK ToK,Kesha,"""Kesha""",dance pop,2010,120,84,76,-3,29,71,200,10,14,80
4,Bad Romance,Lady Gaga,"""Lady Gaga""",dance pop,2010,119,92,70,-4,8,71,295,0,4,79
5,Just the Way You Are,Bruno Mars,"""Bruno Mars""",pop,2010,109,84,64,-5,9,43,221,2,4,78
6,Baby,Justin Bieber,"""Justin Bieber""",canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
7,Dynamite,Taio Cruz,"""Taio Cruz""",dance pop,2010,120,78,75,-4,4,82,203,0,9,77
8,Secrets,OneRepublic,"""OneRepublic""",dance pop,2010,148,76,52,-6,12,38,225,7,4,77
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,"""Alicia Keys""",hip pop,2010,93,37,48,-8,12,14,216,74,3,76
10,Only Girl (In The World),Rihanna,"""Rihanna""",barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,"""Flo Rida""",dance pop,2010,128,87,62,-4,6,47,235,3,3,73
12,Marry You,Bruno Mars,"""Bruno Mars""",pop,2010,145,83,62,-5,10,48,230,33,4,73
13,A Thousand Years,Christina Perri,"""Christina Perri""",dance pop,2011,139,41,42,-7,11,16,285,31,3,81
14,Someone Like You,Adele,"""Adele""",british soul,2011,135,33,56,-8,10,28,285,89,3,80
15,Give Me Everything,Pitbull,"""Pitbull""",dance pop,2011,129,94,67,-3,30,53,252,19,16,79
16,Just the Way You Are,Bruno Mars,"""Bruno Mars""",pop,2011,109,84,64,-5,9,43,221,2,4,78
17,Rolling in the Deep,Adele,"""Adele""",british soul,2011,105,76,73,-5,5,52,228,13,3,76
18,Run the World (Girls),BeyoncÈ,"""BeyoncÈ""",dance pop,2011,127,90,73,-4,37,76,236,0,14,76
19,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,"""Maroon 5""",pop,2011,128,76,72,-4,32,62,201,1,5,76
20,Love On Top,BeyoncÈ,"""BeyoncÈ""",dance pop,2011,94,75,65,-5,60,65,267,8,9,76
21,Grenade,Bruno Mars,"""Bruno Mars""",pop,2011,110,56,71,-7,12,23,223,15,6,75
22,Tonight Tonight,Hot Chelle Rae,"""Hot Chelle Rae""",dance pop,2011,100,78,69,-5,16,81,200,8,12,75
23,What the Hell,Avril Lavigne,"""Avril Lavigne""",canadian pop,2011,150,93,58,-4,14,88,221,0,5,74
24,Born This Way,Lady Gaga,"""Lady Gaga""",dance pop,2011,124,83,59,-5,33,49,260,0,16,73
25,Titanium (feat. Sia),David Guetta,"""David Guetta""",dance pop,2012,126,79,60,-4,13,30,245,7,10,80
26,Locked Out of Heaven,Bruno Mars,"""Bruno Mars""",pop,2012,144,70,73,-4,31,87,233,5,4,79
27,Paradise,Coldplay,"""Coldplay""",permanent wave,2012,140,59,45,-7,8,20,279,5,3,79
28,Payphone,Maroon 5,"""Maroon 5""",pop,2012,110,75,74,-5,29,55,231,2,4,79
29,What Makes You Beautiful,One Direction,"""One Direction""",boy band,2012,125,79,73,-2,6,89,200,1,7,78
30,I Knew You Were Trouble.,Taylor Swift,"""Taylor Swift""",pop,2012,77,47,62,-7,3,68,220,0,4,77
31,Call Me Maybe,Carly Rae Jepsen,"""Carly Rae Jepsen""",canadian pop,2012,120,58,78,-7,11,66,193,1,4,76
32,Love You Like A Love Song,Selena Gomez & The Scene,"""Selena Gomez & The Scene""",dance pop,2012,117,68,86,-4,7,92,188,8,5,76
33,Set Fire to the Rain,Adele,"""Adele""",british soul,2012,108,68,61,-4,13,47,242,0,3,76
34,We Are Never Ever Getting Back Together,Taylor Swift,"""Taylor Swift""",pop,2012,86,68,63,-6,12,75,193,1,9,75
35,Stronger (What Doesn't Kill You),Kelly Clarkson,"""Kelly Clarkson""",dance pop,2012,116,94,56,-4,11,68,222,5,5,74
36,Try,P!nk,"""P!nk""",dance pop,2012,104,63,67,-7,9,55,248,0,3,74
37,Starships,Nicki Minaj,"""Nicki Minaj""",dance pop,2012,125,72,75,-2,25,75,211,14,8,73
38,Underneath the Tree,Kelly Clarkson,"""Kelly Clarkson""",dance pop,2013,160,81,51,-5,21,69,230,0,5,88
39,Wake Me Up,Avicii,"""Avicii""",big room,2013,124,78,53,-6,16,64,247,0,5,85
40,Story of My Life,One Direction,"""One Direction""",boy band,2013,121,66,60,-6,12,29,245,23,5,81
41,Just Give Me a Reason (feat. Nate Ruess),P!nk,"""P!nk""",dance pop,2013,95,55,78,-7,13,44,243,35,5,81
42,Hall of Fame,The Script,"""The Script""",celtic rock,2013,85,87,42,-4,12,63,203,7,6,80
43,Roar,Katy Perry,"""Katy Perry""",dance pop,2013,180,77,55,-5,35,46,224,0,4,78
44,We Can't Stop,Miley Cyrus,"""Miley Cyrus""",dance pop,2013,80,62,61,-6,37,48,231,1,3,78
45,Don't You Worry Child - Radio Edit,Swedish House Mafia,"""Swedish House Mafia""",big room,2013,129,84,61,-3,12,44,213,11,5,78
46,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,"""Daft Punk""",electro,2013,116,81,79,-9,10,86,248,4,4,77
47,Wrecking Ball,Miley Cyrus,"""Miley Cyrus""",dance pop,2013,120,42,53,-6,11,35,221,41,3,77
48,Impossible,James Arthur,"""James Arthur""",pop,2013,170,70,38,-5,11,30,209,14,9,77
49,Blurred Lines,Robin Thicke,"""Robin Thicke""",dance pop,2013,120,60,85,-5,8,84,264,0,4,76
50,All of Me,John Legend,"""John Legend""",neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
51,Stay With Me,Sam Smith,"""Sam Smith""",pop,2014,84,42,42,-6,11,18,173,59,4,85
52,Summer,Calvin Harris,"""Calvin Harris""",dance pop,2014,128,86,60,-4,14,74,223,2,3,80
53,"Happy - From ""Despicable Me 2""",Pharrell Williams,"""Pharrell Williams""",dance pop,2014,160,82,65,-5,9,96,233,22,18,79
54,Rude,MAGIC!,"""MAGIC!""",pop,2014,144,76,77,-5,31,93,225,4,4,79
55,Shake It Off,Taylor Swift,"""Taylor Swift""",pop,2014,160,80,65,-5,33,94,219,6,17,78
56,Dark Horse,Katy Perry,"""Katy Perry""",dance pop,2014,132,59,65,-6,17,35,216,0,5,78
57,Hey Brother,Avicii,"""Avicii""",big room,2014,125,78,55,-5,8,46,255,3,4,78
58,Maps,Maroon 5,"""Maroon 5""",pop,2014,120,71,74,-6,6,88,190,2,3,78
59,Treasure,Bruno Mars,"""Bruno Mars""",pop,2014,116,69,87,-5,32,94,179,4,4,77
60,Let Her Go,Passenger,"""Passenger""",folk-pop,2014,75,54,51,-7,10,24,253,39,6,77
61,Problem,Ariana Grande,"""Ariana Grande""",dance pop,2014,103,81,66,-5,16,63,194,2,15,75
62,Pompeii,Bastille,"""Bastille""",metropopolis,2014,127,72,68,-6,27,57,214,8,4,73
63,Thinking out Loud,Ed Sheeran,"""Ed Sheeran""",pop,2015,79,45,78,-6,18,59,282,47,3,84
64,I'm Not The Only One,Sam Smith,"""Sam Smith""",pop,2015,82,49,68,-6,8,49,239,53,4,84
65,The Hills,The Weeknd,"""The Weeknd""",canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84
66,Love Yourself,Justin Bieber,"""Justin Bieber""",canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
67,Uptown Funk,Mark Ronson,"""Mark Ronson""",dance pop,2015,115,61,86,-7,3,93,270,1,8,82
68,Take Me To Church,Hozier,"""Hozier""",irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
69,Sugar,Maroon 5,"""Maroon 5""",pop,2015,120,79,75,-7,9,88,235,6,3,81
70,Sorry,Justin Bieber,"""Justin Bieber""",canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
71,FourFiveSeconds,Rihanna,"""Rihanna""",barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
72,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,"""Ellie Goulding""",dance pop,2015,190,61,26,-7,13,28,253,25,5,79
73,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"""The Weeknd""",canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79
74,What Do You Mean?,Justin Bieber,"""Justin Bieber""",canadian pop,2015,125,57,85,-8,8,79,206,59,10,79
75,Stitches,Shawn Mendes,"""Shawn Mendes""",canadian pop,2015,150,75,75,-7,5,76,207,2,7,78
76,The Hills,The Weeknd,"""The Weeknd""",canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84
77,Love Yourself,Justin Bieber,"""Justin Bieber""",canadian pop,2016,100,38,61,-10,28,52,234,84,44,83
78,Cake By The Ocean,DNCE,"""DNCE""",dance pop,2016,119,75,77,-5,4,90,219,15,5,81
79,Don't Let Me Down,The Chainsmokers,"""The Chainsmokers""",electropop,2016,160,87,53,-5,14,42,208,16,17,81
80,In the Name of Love,Martin Garrix,"""Martin Garrix""",big room,2016,134,52,50,-6,45,17,196,11,4,81
81,Into You,Ariana Grande,"""Ariana Grande""",dance pop,2016,108,73,62,-6,14,37,244,2,11,80
82,This Is What You Came For,Calvin Harris,"""Calvin Harris""",dance pop,2016,124,93,63,-3,15,47,222,20,3,80
83,Million Reasons,Lady Gaga,"""Lady Gaga""",dance pop,2016,130,42,67,-8,11,15,205,49,4,80
84,Needed Me,Rihanna,"""Rihanna""",barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
85,7 Years,Lukas Graham,"""Lukas Graham""",danish pop,2016,120,47,77,-6,39,34,237,29,5,80
86,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"""Justin Timberlake""",dance pop,2016,113,83,67,-6,19,70,236,1,7,79
87,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,"""Fifth Harmony""",dance pop,2016,105,59,80,-6,6,59,214,10,4,79
88,Scars To Your Beautiful,Alessia Cara,"""Alessia Cara""",canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79
89,Shape of You,Ed Sheeran,"""Ed Sheeran""",pop,2017,96,65,83,-3,9,93,234,58,8,87
90,Closer,The Chainsmokers,"""The Chainsmokers""",electropop,2017,95,52,75,-6,11,66,245,41,3,86
91,Starboy,The Weeknd,"""The Weeknd""",canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85
92,Treat You Better,Shawn Mendes,"""Shawn Mendes""",canadian pop,2017,83,82,44,-4,11,75,188,11,34,84
93,That's What I Like,Bruno Mars,"""Bruno Mars""",pop,2017,134,56,85,-5,9,86,207,1,4,83
94,Let Me Love You,DJ Snake,"""DJ Snake""",electronic trap,2017,100,72,65,-5,14,16,206,9,3,82
95,I Feel It Coming,The Weeknd,"""The Weeknd""",canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81
96,Mercy,Shawn Mendes,"""Shawn Mendes""",canadian pop,2017,148,66,56,-5,11,36,209,13,8,81
97,Side To Side,Ariana Grande,"""Ariana Grande""",dance pop,2017,159,74,65,-6,24,61,226,5,23,80
98,Stay,Zedd,"""Zedd""",complextro,2017,102,62,69,-5,12,54,210,25,6,80
99,It Ain't Me (with Selena Gomez),Kygo,"""Kygo""",edm,2017,100,53,64,-7,9,52,221,12,7,79
100,Malibu,Miley Cyrus,"""Miley Cyrus""",dance pop,2017,140,78,57,-6,8,34,232,8,6,78
101,Something Just Like This,The Chainsmokers,"""The Chainsmokers""",electropop,2017,103,65,61,-7,17,51,248,3,4,78
102,One Kiss (with Dua Lipa),Calvin Harris,"""Calvin Harris""",dance pop,2018,124,86,79,-3,8,59,215,4,11,86
103,Havana (feat. Young Thug),Camila Cabello,"""Camila Cabello""",dance pop,2018,105,52,77,-4,13,39,217,18,3,85
104,I Like It,Cardi B,"""Cardi B""",pop,2018,136,73,82,-4,37,65,253,10,13,85
105,New Rules,Dua Lipa,"""Dua Lipa""",dance pop,2018,116,70,76,-6,15,61,209,0,7,84
106,There's Nothing Holdin' Me Back,Shawn Mendes,"""Shawn Mendes""",canadian pop,2018,122,81,87,-4,8,97,199,38,6,84
107,no tears left to cry,Ariana Grande,"""Ariana Grande""",dance pop,2018,122,71,70,-6,29,35,206,4,6,84
108,IDGAF,Dua Lipa,"""Dua Lipa""",dance pop,2018,97,54,84,-6,8,51,218,4,9,84
109,In My Blood,Shawn Mendes,"""Shawn Mendes""",canadian pop,2018,140,71,62,-7,13,49,211,6,7,83
110,Wolves,Selena Gomez,"""Selena Gomez""",dance pop,2018,125,80,72,-5,20,31,198,12,4,83
111,Dusk Till Dawn - Radio Edit,ZAYN,"""ZAYN""",dance pop,2018,180,44,26,-7,11,10,239,10,4,83
112,Attention,Charlie Puth,"""Charlie Puth""",dance pop,2018,100,61,78,-5,13,80,209,11,5,83
113,Electricity (with Dua Lipa),Silk City,"""Silk City""",edm,2018,118,67,59,-6,34,51,238,1,5,82
114,Love On The Brain,Rihanna,"""Rihanna""",barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82
115,Memories,Maroon 5,"""Maroon 5""",pop,2019,91,32,76,-7,8,57,189,84,5,99
116,Lose You To Love Me,Selena Gomez,"""Selena Gomez""",dance pop,2019,102,34,51,-9,21,9,206,58,4,97
117,Someone You Loved,Lewis Capaldi,"""Lewis Capaldi""",pop,2019,110,41,50,-6,11,45,182,75,3,96
118,SeÒorita,Shawn Mendes,"""Shawn Mendes""",canadian pop,2019,117,54,76,-6,9,75,191,4,3,95
119,How Do You Sleep?,Sam Smith,"""Sam Smith""",pop,2019,111,68,48,-5,8,35,202,15,9,93
120,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,"""Ed Sheeran""",pop,2019,98,62,86,-6,9,67,204,15,8,92
121,Trampoline (with ZAYN),SHAED,"""SHAED""",electropop,2019,127,46,62,-6,14,50,184,56,3,92
122,Happier,Marshmello,"""Marshmello""",brostep,2019,100,79,69,-3,17,67,214,19,5,90
123,Truth Hurts,Lizzo,"""Lizzo""",escape room,2019,158,62,72,-3,12,41,173,11,11,90
124,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,"""Lizzo""",escape room,2019,96,89,67,-3,74,48,159,30,6,90
125,Higher Love,Kygo,"""Kygo""",edm,2019,104,68,69,-7,10,40,228,2,3,88
126,Only Human,Jonas Brothers,"""Jonas Brothers""",boy band,2019,94,50,80,-6,6,87,183,11,7,87
127,Beautiful People (feat. Khalid),Ed Sheeran,"""Ed Sheeran""",pop,2019,93,65,64,-8,8,55,198,12,19,86